"Что такое Java?","Язык программирования","Кофе","Остров в Индонезии","Марка автомобиля",1,"программирование","java","основы","технологии"
"Сколько будет 2 + 2 * 2?","6","8","4","10",1,"математика","арифметика","числа","логика"
"Столица Франции?","Париж","Лондон","Берлин","Мадрид",1,"география","европа","столицы","города"
"Какой элемент обозначается как O?","Кислород","Золото","Водород","Углерод",1,"химия","элементы","наука"
"Автор 'Войны и мира'?","Лев Толстой","Федор Достоевский","Антон Чехов","Иван Тургенев",1,"литература","русская литература","классика","книги"
"Самая большая планета Солнечной системы?","Юпитер","Сатурн","Земля","Марс",1,"астрономия","космос","планеты","наука"
"Что такое HTTP?","Протокол передачи гипертекста","Язык программирования","База данных","Операционная система",1,"информатика","интернет","технологии","web"
"Год основания Санкт-Петербурга?","1703","1725","1698","1712",1,"история","россия","города","петр I"
"Сколько бит в байте?","8","16","32","64",1,"информатика","компьютеры","технологии","основы"
"Самое глубокое озеро в мире?","Байкал","Верхнее","Виктория","Танганьика",1,"география","россия","озера","природа"
"Что такое ArrayList в Java?","Динамический массив","Статический массив","База данных","Файловая система",1,"программирование","java","коллекции","структуры данных"
"Кто написал 'Гамлета'?","Уильям Шекспир","Чарльз Диккенс","Оскар Уайльд","Марк Твен",1,"литература","английская литература","классика","театр"
"Формула воды?","H₂O","CO₂","NaCl","O₂",1,"химия","формулы","наука","основы"
"Сколько сторон у шестиугольника?","6","5","7","8",1,"математика","геометрия","фигуры","числа"
"Самая длинная река в мире?","Нил","Амазонка","Миссисипи","Янцзы",1,"география","реки","природа","мир"
"Что такое Git?","Система контроля версий","Язык программирования","База данных","Текстовый редактор",1,"программирование","инструменты","технологии","разработка"
"Кто открыл Америку?","Христофор Колумб","Васко да Гама","Фернан Магеллан","Джеймс Кук",1,"история","география","открытия","мир"
"Сколько часов в сутках?","24","12","36","48",1,"математика","время","основы","числа"
"Что такое interface в Java?","Контракт для классов","Конкретный класс","Метод","Переменная",1,"программирование","java","ООП","интерфейсы"
"Самый большой материк?","Евразия","Африка","Северная Америка","Южная Америка",1,"география","материки","мир","природа"
"Кто автор теории относительности?","Альберт Эйнштейн","Исаак Ньютон","Никола Тесла","Стивен Хокинг",1,"физика","наука","история","гении"
"Что такое MySQL?","Реляционная база данных","Язык программирования","Операционная система","Фреймворк",1,"программирование","базы данных","технологии","sql"
"Сколько планет в Солнечной системе?","8","9","7","10",1,"астрономия","космос","планеты","наука"
"Автор картины 'Черный квадрат'?","Казимир Малевич","Василий Кандинский","Пабло Пикассо","Винсент ван Гог",1,"искусство","живопись","россия","авангард"
"Что такое Spring Framework?","Фреймворк для Java","База данных","Язык программирования","Операционная система",1,"программирование","java","фреймворки","spring"
"Самая высокая гора в мире?","Эверест","Килиманджаро","Эльбрус","Монблан",1,"география","горы","природа","рекорды"
"Кто написал 'Евгения Онегина'?","Александр Пушкин","Михаил Лермонтов","Николай Гоголь","Иван Тургенев",1,"литература","русская литература","поэзия","классика"
"Что такое JavaScript?","Язык программирования","База данных","Фреймворк","Операционная система",1,"программирование","javascript","web","технологии"
"Сколько цветов в радуге?","7","6","5","8",1,"физика","оптика","природа","цвета"
"Столица Японии?","Токио","Пекин","Сеул","Бангкок",1,"география","азия","столицы","города"
